Mesorregião Geográfica,Ano,Quantidade produzida,Rendimento médio da produção,Valor da produção,Área colhida,Área plantada ou destinada à colheita,Preco_Real,Chuva_mm
Extremo Oeste Baiano (BA),2006,1983600.0,2280.0,2007236.0,1383294.0,1391218.0,30.03,1103.9
Extremo Oeste Baiano (BA),2007,2295000.0,2700.0,2964976.0,1452669.0,1457265.0,36.72,692.4
Extremo Oeste Baiano (BA),2008,2742722.0,3035.0,4023974.0,1568359.0,1583205.0,48.36,1152.0
Extremo Oeste Baiano (BA),2009,2418672.0,2549.0,3378381.0,1591110.0,1591110.0,48.07,677.9
Extremo Oeste Baiano (BA),2010,3105339.0,3059.0,3598670.0,1619930.0,1619930.0,42.08,483.8
Extremo Oeste Baiano (BA),2011,3504612.0,3359.0,5611262.0,1755101.0,1755101.0,49.03,1164.3
Extremo Oeste Baiano (BA),2012,3205298.0,2887.0,6811319.0,1880433.0,1881581.0,68.74,582.5
Extremo Oeste Baiano (BA),2013,2758533.0,2281.0,5765905.0,1833150.0,1837980.0,69.0,1049.9
Extremo Oeste Baiano (BA),2014,3200364.0,2511.0,7705663.0,2117477.0,2123881.0,67.33,824.7
Extremo Oeste Baiano (BA),2015,4503833.0,3133.0,7581533.0,2220053.0,2234663.0,72.59,810.8
Extremo Oeste Baiano (BA),2016,3248119.0,2117.0,6843276.0,2132261.0,2132263.0,81.4,1026.9
Extremo Oeste Baiano (BA),2017,5139091.0,3249.0,8345312.0,2169286.0,2169300.0,71.31,596.1
Extremo Oeste Baiano (BA),2018,6305784.0,3938.0,12317283.0,2260647.0,2262610.0,84.32,825.5
Extremo Oeste Baiano (BA),2019,5307866.0,3359.0,11016904.0,2295189.0,2301745.0,82.2,728.9
Extremo Oeste Baiano (BA),2020,6058595.0,3746.0,16809335.0,2275160.0,2276072.0,121.29,1271.4
Extremo Oeste Baiano (BA),2021,6814574.0,4023.0,24385369.0,2315076.0,2317868.0,170.02,1396.1
Extremo Oeste Baiano (BA),2022,6932237.0,3920.0,30732957.0,2434165.0,2434706.0,188.84,1057.6
Extremo Oeste Baiano (BA),2023,7749176.0,4044.0,27541587.0,2592297.0,2593037.0,150.69,518.9
Extremo Oeste Baiano (BA),2024,7638442.0,3895.0,23456572.0,2613990.0,2615010.0,133.82,1194.7
