Chave_Mensal,Ano,Mes,Preco_Real,Chuva_mm
2006-03,2006,03,27.79,257.0
2006-04,2006,04,27.02,134.4
2006-05,2006,05,28.68,63.9
2006-06,2006,06,29.41,0.0
2006-07,2006,07,29.6,0.0
2006-08,2006,08,28.91,2.0
2006-09,2006,09,29.1,22.0
2006-10,2006,10,32.13,158.5
2006-11,2006,11,34.37,145.4
2006-12,2006,12,33.31,155.2
2007-01,2007,01,33.68,67.9
2007-02,2007,02,34.71,310.7
2007-03,2007,03,34.01,40.9
2007-04,2007,04,31.96,17.4
2007-05,2007,05,32.12,12.7
2007-06,2007,06,32.94,0.0
2007-07,2007,07,33.65,0.0
2007-08,2007,08,37.11,0.0
2007-09,2007,09,41.3,0.0
2007-10,2007,10,42.2,21.5
2007-11,2007,11,42.96,98.2
2007-12,2007,12,44.03,123.1
2008-01,2008,01,47.93,215.9
2008-02,2008,02,49.99,152.2
2008-03,2008,03,48.06,299.3
2008-04,2008,04,46.72,141.3
2008-05,2008,05,46.65,7.4
2008-06,2008,06,52.35,0.0
2008-07,2008,07,52.96,0.0
2008-08,2008,08,46.84,0.0
2008-09,2008,09,48.14,9.6
2008-10,2008,10,46.65,2.3
2008-11,2008,11,47.32,121.6
2008-12,2008,12,46.73,202.4
2009-01,2009,01,51.02,138.3
2009-02,2009,02,49.24,72.3
2009-03,2009,03,47.67,127.0
2009-04,2009,04,50.16,218.8
2009-05,2009,05,52.78,56.8
2009-06,2009,06,52.37,59.0
2009-07,2009,07,49.94,0.0
2009-08,2009,08,50.06,0.0
2009-09,2009,09,46.27,5.7
2010-07,2010,07,41.37,0.2
2010-08,2010,08,43.83,0.0
2010-09,2010,09,44.75,0.0
2010-10,2010,10,45.72,105.4
2010-11,2010,11,49.17,145.1
2010-12,2010,12,49.59,233.1
2011-01,2011,01,50.78,193.0
2011-02,2011,02,51.39,138.1
2011-03,2011,03,49.54,191.4
2011-04,2011,04,47.19,26.5
2011-05,2011,05,47.83,1.7
2011-06,2011,06,47.88,0.0
2011-07,2011,07,48.5,0.0
