Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.15583333
Longitude: -45.00833333
Altitude: 447.51
Situacao: Fechada
Data Inicial: 2000-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);
2000-01-31;183.9;
2000-02-29;248.4;
2000-03-31;93.9;
2000-04-30;73.5;
2000-05-31;9.9;
2000-06-30;.1;
2000-07-31;.2;
2000-08-31;.6;
2000-09-30;39.1;
2000-10-31;12.7;
2000-11-30;299.1;
2000-12-31;224.1;
2001-01-31;18;
2001-02-28;41.2;
2001-03-31;163.5;
2001-04-30;24.4;
2001-05-31;35.8;
2001-06-30;0;
2001-07-31;.3;
2001-08-31;0;
2001-09-30;2.7;
2001-10-31;103.8;
2001-11-30;158.4;
2001-12-31;214.4;
2002-01-31;245.5;
2002-02-28;99;
2002-03-31;48.1;
2002-04-30;43.8;
2002-05-31;26.3;
2002-06-30;.9;
2002-07-31;14.8;
2002-08-31;0;
2002-09-30;47.5;
2002-10-31;34.5;
2002-11-30;68.5;
2002-12-31;347.1;
2003-01-31;145.6;
2003-02-28;89.3;
2003-03-31;133.3;
2003-04-30;98.3;
2003-05-31;8.7;
2003-06-30;0;
2003-07-31;0;
2003-08-31;10.1;
2003-09-30;10.9;
2003-10-31;33.2;
2003-11-30;153;
2003-12-31;121.4;
2004-01-31;370.9;
2004-02-29;201.1;
2004-03-31;211.3;
2004-04-30;27.4;
2004-05-31;.4;
2004-06-30;0;
2004-07-31;0;
2004-08-31;0;
2004-09-30;3.4;
2004-10-31;79.5;
2004-11-30;123.6;
2004-12-31;142;
2005-01-31;227.9;
2005-02-28;173.7;
2005-03-31;89.8;
2005-04-30;53.1;
2005-05-31;61.8;
2005-06-30;0;
2005-07-31;0;
2005-08-31;0;
2005-09-30;13.7;
2005-10-31;22.3;
2005-11-30;119.7;
2005-12-31;203.5;
2006-01-31;62.8;
2006-02-28;102.7;
2006-03-31;257;
2006-04-30;134.4;
2006-05-31;63.9;
2006-06-30;0;
2006-07-31;0;
2006-08-31;2;
2006-09-30;22;
2006-10-31;158.5;
2006-11-30;145.4;
2006-12-31;155.2;
2007-01-31;67.9;
2007-02-28;310.7;
2007-03-31;40.9;
2007-04-30;17.4;
2007-05-31;12.7;
2007-06-30;0;
2007-07-31;0;
2007-08-31;0;
2007-09-30;0;
2007-10-31;21.5;
2007-11-30;98.2;
2007-12-31;123.1;
2008-01-31;215.9;
2008-02-29;152.2;
2008-03-31;299.3;
2008-04-30;141.3;
2008-05-31;7.4;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;9.6;
2008-10-31;2.3;
2008-11-30;121.6;
2008-12-31;202.4;
2009-01-31;138.3;
2009-02-28;72.3;
2009-03-31;127;
2009-04-30;218.8;
2009-05-31;56.8;
2009-06-30;59;
2009-07-31;0;
2009-08-31;0;
2009-09-30;5.7;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
