Soja | INDICADOR DA SOJA CEPEA/ESALQ - PARANAGUÁ,,
Nota,"""Entre os dias 10 e 17 de novembro, foram consideradas todas as ofertas
para o cálculo do Indicador"".",
Fonte,Cepea,
Data,À vista R$,À vista US$
03/2006,"27,79","12,88"
04/2006,"27,02","12,70"
05/2006,"28,68","13,15"
06/2006,"29,41","13,10"
07/2006,"29,60","13,51"
08/2006,"28,91","13,40"
09/2006,"29,10","13,42"
10/2006,"32,13","14,96"
11/2006,"34,37","15,92"
12/2006,"33,31","15,50"
01/2007,"33,68","15,75"
02/2007,"34,71","16,55"
03/2007,"34,01","16,29"
04/2007,"31,96","15,72"
05/2007,"32,12","16,23"
06/2007,"32,94","17,05"
07/2007,"33,65","17,87"
08/2007,"37,11","18,89"
09/2007,"41,30","21,77"
10/2007,"42,20","23,44"
11/2007,"42,96","24,26"
12/2007,"44,03","24,66"
01/2008,"47,93","27,02"
02/2008,"49,99","28,96"
03/2008,"48,06","28,16"
04/2008,"46,72","27,70"
05/2008,"46,65","28,12"
06/2008,"52,35","32,36"
07/2008,"52,96","33,28"
08/2008,"46,84","29,04"
09/2008,"48,14","26,80"
10/2008,"46,65","21,43"
11/2008,"47,32","20,83"
12/2008,"46,73","19,47"
01/2009,"51,02","22,08"
02/2009,"49,24","21,30"
03/2009,"47,67","20,62"
04/2009,"50,16","22,75"
05/2009,"52,78","25,61"
06/2009,"52,37","26,73"
07/2009,"49,94","25,86"
08/2009,"50,06","27,12"
09/2009,"46,27","25,43"
10/2009,"43,96","25,31"
11/2009,"42,01","24,31"
12/2009,"41,39","23,64"
01/2010,"40,22","22,59"
02/2010,"38,24","20,78"
03/2010,"37,38","20,93"
04/2010,"37,43","21,30"
05/2010,"38,40","21,15"
06/2010,"38,91","21,51"
07/2010,"41,37","23,37"
08/2010,"43,83","24,91"
09/2010,"44,75","26,03"
10/2010,"45,72","27,14"
11/2010,"49,17","28,69"
12/2010,"49,59","29,26"
01/2011,"50,78","30,30"
02/2011,"51,39","30,80"
03/2011,"49,54","29,86"
04/2011,"47,19","29,76"
05/2011,"47,83","29,66"
06/2011,"47,88","30,16"
07/2011,"48,50","31,03"
08/2011,"49,38","30,95"
09/2011,"51,94","29,68"
10/2011,"48,47","27,41"
11/2011,"47,74","26,67"
12/2011,"47,70","25,94"
01/2012,"49,55","27,71"
02/2012,"49,32","28,72"
03/2012,"54,93","30,61"
04/2012,"60,35","32,51"
05/2012,"63,79","32,14"
06/2012,"68,05","33,18"
07/2012,"79,36","39,10"
08/2012,"85,58","42,20"
09/2012,"86,82","42,83"
10/2012,"75,73","37,31"
11/2012,"75,73","36,58"
12/2012,"75,73","36,41"
01/2013,"71,99","35,46"
02/2013,"64,01","32,43"
03/2013,"61,84","31,15"
04/2013,"59,45","29,68"
05/2013,"61,89","30,35"
06/2013,"68,72","31,61"
07/2013,"69,32","30,78"
08/2013,"69,88","29,78"
09/2013,"73,47","32,42"
10/2013,"73,84","33,70"
11/2013,"76,35","33,21"
12/2013,"77,25","32,90"
01/2014,"72,29","30,34"
02/2014,"69,71","29,29"
03/2014,"72,27","31,06"
04/2014,"71,11","31,85"
05/2014,"70,74","31,84"
06/2014,"70,86","31,69"
07/2014,"67,30","30,25"
08/2014,"67,11","29,59"
09/2014,"63,06","27,04"
10/2014,"61,17","24,98"
11/2014,"61,17","23,97"
12/2014,"61,17","23,16"
01/2015,"61,14","23,20"
02/2015,"63,72","22,62"
03/2015,"67,90","21,61"
04/2015,"69,53","22,86"
05/2015,"66,61","21,76"
06/2015,"67,88","21,83"
07/2015,"72,89","22,61"
08/2015,"77,33","22,02"
09/2015,"81,35","20,83"
10/2015,"81,98","21,14"
11/2015,"79,97","21,17"
12/2015,"80,76","20,88"
01/2016,"82,75","20,42"
02/2016,"77,83","19,59"
03/2016,"74,53","20,17"
04/2016,"78,04","21,98"
05/2016,"86,43","24,43"
06/2016,"95,19","27,86"
07/2016,"87,46","26,69"
08/2016,"81,69","25,47"
09/2016,"79,50","24,43"
10/2016,"76,70","24,10"
11/2016,"78,27","23,44"
12/2016,"78,43","23,39"
01/2017,"76,03","23,80"
02/2017,"73,86","23,81"
03/2017,"70,01","22,40"
04/2017,"65,82","20,96"
05/2017,"68,94","21,48"
06/2017,"68,95","20,92"
07/2017,"72,24","22,58"
08/2017,"69,83","22,17"
09/2017,"70,41","22,45"
10/2017,"71,47","22,37"
11/2017,"73,87","22,67"
12/2017,"74,24","22,53"
01/2018,"71,83","22,38"
02/2018,"74,72","23,04"
03/2018,"79,39","24,23"
04/2018,"85,53","25,10"
05/2018,"86,12","23,69"
06/2018,"84,83","22,43"
07/2018,"88,29","23,08"
08/2018,"89,91","22,88"
09/2018,"95,48","23,26"
10/2018,"90,53","24,07"
11/2018,"84,16","22,23"
12/2018,"81,10","20,89"
01/2019,"76,89","20,58"
02/2019,"77,73","20,89"
03/2019,"78,27","20,37"
04/2019,"76,56","19,66"
05/2019,"78,36","19,61"
06/2019,"81,90","21,21"
07/2019,"78,82","20,86"
08/2019,"85,08","21,14"
09/2019,"86,50","20,98"
10/2019,"88,25","21,61"
11/2019,"89,87","21,62"
12/2019,"88,15","21,45"
01/2020,"87,39","21,07"
02/2020,"87,61","20,16"
03/2020,"94,97","19,41"
04/2020,"102,30","19,20"
05/2020,"110,41","19,58"
06/2020,"109,76","21,11"
07/2020,"116,05","21,99"
08/2020,"128,59","23,55"
09/2020,"141,20","26,13"
10/2020,"159,64","28,36"
11/2020,"164,99","30,44"
12/2020,"152,56","29,68"
01/2021,"167,87","31,33"
02/2021,"166,38","30,69"
03/2021,"171,87","30,46"
04/2021,"177,10","31,84"
05/2021,"176,39","33,33"
06/2021,"162,08","32,25"
07/2021,"167,60","32,47"
08/2021,"171,06","32,58"
09/2021,"172,73","32,64"
10/2021,"171,17","30,93"
11/2021,"165,79","29,82"
12/2021,"170,25","30,09"
01/2022,"179,67","32,53"
02/2022,"195,02","37,58"
03/2022,"199,60","40,20"
04/2022,"186,36","39,20"
05/2022,"193,38","39,11"
06/2022,"194,97","38,61"
07/2022,"190,74","35,55"
08/2022,"187,18","36,38"
09/2022,"187,26","35,80"
10/2022,"183,73","35,00"
11/2022,"186,13","35,25"
12/2022,"182,05","34,66"
01/2023,"177,03","34,08"
02/2023,"172,61","33,33"
03/2023,"162,12","31,15"
04/2023,"145,24","28,95"
05/2023,"138,11","27,73"
06/2023,"136,45","28,17"
07/2023,"146,84","30,60"
08/2023,"148,55","30,29"
09/2023,"147,19","29,77"
10/2023,"144,09","28,45"
11/2023,"144,04","29,41"
12/2023,"145,97","29,79"
01/2024,"126,93","25,83"
02/2024,"117,64","23,71"
03/2024,"121,91","24,49"
04/2024,"126,79","24,74"
05/2024,"136,00","26,47"
06/2024,"138,92","25,76"
07/2024,"138,09","24,90"
08/2024,"133,21","23,99"
09/2024,"139,90","25,26"
10/2024,"141,83","25,22"
11/2024,"143,41","24,71"
12/2024,"141,17","23,17"
