Mesorregião Geográfica,Ano,Quantidade produzida,Rendimento médio da produção,Valor da produção,Área colhida,Área plantada ou destinada à colheita
Centro Norte Baiano (BA),2000,,,374882.0,827847.0,835013.0
Centro Norte Baiano (BA),2001,,,283766.0,617746.0,724648.0
Centro Norte Baiano (BA),2002,,,416136.0,637660.0,788450.0
Centro Norte Baiano (BA),2003,,,543622.0,679556.0,881265.0
Centro Norte Baiano (BA),2004,,,621522.0,770491.0,917083.0
Centro Norte Baiano (BA),2005,,,533873.0,832976.0,968304.0
Centro Norte Baiano (BA),2006,,,499861.0,662606.0,860365.0
Centro Norte Baiano (BA),2007,,,606939.0,680319.0,883821.0
Centro Norte Baiano (BA),2008,,,671768.0,617720.0,815505.0
Centro Norte Baiano (BA),2009,,,672271.0,573749.0,765797.0
Centro Norte Baiano (BA),2010,,,866992.0,604037.0,701382.0
Centro Norte Baiano (BA),2011,,,870820.0,629093.0,706913.0
Centro Norte Baiano (BA),2012,,,439997.0,275604.0,418993.0
Centro Norte Baiano (BA),2013,,,468050.0,284521.0,437342.0
Centro Norte Baiano (BA),2014,,,662136.0,329410.0,557871.0
Centro Norte Baiano (BA),2015,,,815669.0,470367.0,562337.0
Centro Norte Baiano (BA),2016,,,811035.0,291167.0,361975.0
Centro Norte Baiano (BA),2017,48.0,2400.0,529542.0,178464.0,306386.0
Centro Norte Baiano (BA),2018,48.0,2400.0,581070.0,249052.0,270411.0
Centro Norte Baiano (BA),2019,48.0,2400.0,706326.0,216285.0,275508.0
Centro Norte Baiano (BA),2020,65.0,2600.0,1006377.0,259717.0,264268.0
Centro Norte Baiano (BA),2021,48.0,2400.0,1165845.0,248901.0,261782.0
Centro Norte Baiano (BA),2022,64.0,2462.0,1439465.0,264484.0,273165.0
Centro Norte Baiano (BA),2023,71.0,2536.0,1358997.0,265569.0,279567.0
Centro Norte Baiano (BA),2024,71.0,2367.0,1468227.0,267017.0,276105.0
Centro Sul Baiano (BA),2000,,,530479.0,499165.0,513250.0
Centro Sul Baiano (BA),2001,,,552286.0,477168.0,511912.0
Centro Sul Baiano (BA),2002,,,948250.0,539713.0,544649.0
Centro Sul Baiano (BA),2003,,,931020.0,531614.0,542324.0
Centro Sul Baiano (BA),2004,,,1004530.0,512335.0,536590.0
Centro Sul Baiano (BA),2005,,,928841.0,522341.0,532405.0
Centro Sul Baiano (BA),2006,,,1126264.0,504176.0,551107.0
Centro Sul Baiano (BA),2007,,,1402762.0,527052.0,558910.0
Centro Sul Baiano (BA),2008,,,1431373.0,501986.0,555201.0
Centro Sul Baiano (BA),2009,,,1600760.0,553071.0,566303.0
Centro Sul Baiano (BA),2010,,,1613532.0,546762.0,573464.0
Centro Sul Baiano (BA),2011,,,2030069.0,582921.0,594102.0
Centro Sul Baiano (BA),2012,,,1385087.0,437584.0,570151.0
Centro Sul Baiano (BA),2013,,,1649758.0,522779.0,587754.0
Centro Sul Baiano (BA),2014,,,2153391.0,536090.0,588546.0
Centro Sul Baiano (BA),2015,,,2366211.0,507984.0,542215.0
Centro Sul Baiano (BA),2016,,,2376219.0,440518.0,481694.0
Centro Sul Baiano (BA),2017,1287.0,1965.0,1715664.0,335031.0,368478.0
Centro Sul Baiano (BA),2018,1310.0,2000.0,1926185.0,313901.0,323428.0
Centro Sul Baiano (BA),2019,2300.0,3511.0,2198992.0,302496.0,322821.0
Centro Sul Baiano (BA),2020,1800.0,3000.0,3043400.0,315652.0,329059.0
Centro Sul Baiano (BA),2021,5309.0,3733.0,3510089.0,332056.0,335587.0
Centro Sul Baiano (BA),2022,5142.0,3470.0,3763351.0,333703.0,335538.0
Centro Sul Baiano (BA),2023,9059.0,3393.0,4242776.0,345707.0,349657.0
Centro Sul Baiano (BA),2024,11681.0,3283.0,6090126.0,346125.0,350965.0
Extremo Oeste Baiano (BA),2000,1508115.0,2400.0,934830.0,994559.0,1000618.0
Extremo Oeste Baiano (BA),2001,1407600.0,2040.0,1004551.0,1069173.0,1075702.0
Extremo Oeste Baiano (BA),2002,1464000.0,1830.0,1549508.0,1138187.0,1142140.0
Extremo Oeste Baiano (BA),2003,1555500.0,1830.0,2080394.0,1240873.0,1241632.0
Extremo Oeste Baiano (BA),2004,2364480.0,2880.0,3115726.0,1347241.0,1348703.0
Extremo Oeste Baiano (BA),2005,2393472.0,2760.0,2462296.0,1405503.0,1406387.0
Extremo Oeste Baiano (BA),2006,1983600.0,2280.0,2007236.0,1383294.0,1391218.0
Extremo Oeste Baiano (BA),2007,2295000.0,2700.0,2964976.0,1452669.0,1457265.0
Extremo Oeste Baiano (BA),2008,2742722.0,3035.0,4023974.0,1568359.0,1583205.0
Extremo Oeste Baiano (BA),2009,2418672.0,2549.0,3378381.0,1591110.0,1591110.0
Extremo Oeste Baiano (BA),2010,3105339.0,3059.0,3598670.0,1619930.0,1619930.0
Extremo Oeste Baiano (BA),2011,3504612.0,3359.0,5611262.0,1755101.0,1755101.0
Extremo Oeste Baiano (BA),2012,3205298.0,2887.0,6811319.0,1880433.0,1881581.0
Extremo Oeste Baiano (BA),2013,2758533.0,2281.0,5765905.0,1833150.0,1837980.0
Extremo Oeste Baiano (BA),2014,3200364.0,2511.0,7705663.0,2117477.0,2123881.0
Extremo Oeste Baiano (BA),2015,4503833.0,3133.0,7581533.0,2220053.0,2234663.0
Extremo Oeste Baiano (BA),2016,3248119.0,2117.0,6843276.0,2132261.0,2132263.0
Extremo Oeste Baiano (BA),2017,5139091.0,3249.0,8345312.0,2169286.0,2169300.0
Extremo Oeste Baiano (BA),2018,6305784.0,3938.0,12317283.0,2260647.0,2262610.0
Extremo Oeste Baiano (BA),2019,5307866.0,3359.0,11016904.0,2295189.0,2301745.0
Extremo Oeste Baiano (BA),2020,6058595.0,3746.0,16809335.0,2275160.0,2276072.0
Extremo Oeste Baiano (BA),2021,6814574.0,4023.0,24385369.0,2315076.0,2317868.0
Extremo Oeste Baiano (BA),2022,6932237.0,3920.0,30732957.0,2434165.0,2434706.0
Extremo Oeste Baiano (BA),2023,7749176.0,4044.0,27541587.0,2592297.0,2593037.0
Extremo Oeste Baiano (BA),2024,7638442.0,3895.0,23456572.0,2613990.0,2615010.0
Metropolitana de Salvador (BA),2000,,,121182.0,93853.0,93853.0
Metropolitana de Salvador (BA),2001,,,119536.0,90209.0,90209.0
Metropolitana de Salvador (BA),2002,,,165807.0,84185.0,84511.0
Metropolitana de Salvador (BA),2003,,,205685.0,84904.0,84904.0
Metropolitana de Salvador (BA),2004,,,212981.0,85737.0,86348.0
Metropolitana de Salvador (BA),2005,,,211555.0,87980.0,88239.0
Metropolitana de Salvador (BA),2006,,,225744.0,86966.0,90984.0
Metropolitana de Salvador (BA),2007,,,250870.0,87720.0,89588.0
Metropolitana de Salvador (BA),2008,,,258434.0,84004.0,92072.0
Metropolitana de Salvador (BA),2009,,,208521.0,72354.0,72464.0
Metropolitana de Salvador (BA),2010,,,236147.0,75092.0,75092.0
Metropolitana de Salvador (BA),2011,,,250192.0,79202.0,79202.0
Metropolitana de Salvador (BA),2012,,,301872.0,78371.0,78371.0
Metropolitana de Salvador (BA),2013,,,315377.0,77528.0,77528.0
Metropolitana de Salvador (BA),2014,,,328142.0,80656.0,80756.0
Metropolitana de Salvador (BA),2015,,,314741.0,73181.0,73181.0
Metropolitana de Salvador (BA),2016,,,355398.0,68949.0,69105.0
Metropolitana de Salvador (BA),2017,,,182407.0,43590.0,44447.0
Metropolitana de Salvador (BA),2018,,,164946.0,40143.0,40143.0
Metropolitana de Salvador (BA),2019,,,176587.0,40471.0,40471.0
Metropolitana de Salvador (BA),2020,,,177246.0,39835.0,39835.0
Metropolitana de Salvador (BA),2021,,,197103.0,40159.0,40159.0
Metropolitana de Salvador (BA),2022,,,228288.0,40864.0,40864.0
Metropolitana de Salvador (BA),2023,,,269137.0,40195.0,40195.0
Metropolitana de Salvador (BA),2024,,,371730.0,40421.0,40421.0
Nordeste Baiano (BA),2000,,,319406.0,770183.0,780423.0
Nordeste Baiano (BA),2001,,,303964.0,605415.0,737865.0
Nordeste Baiano (BA),2002,,,582968.0,681118.0,820898.0
Nordeste Baiano (BA),2003,,,638354.0,811288.0,816165.0
Nordeste Baiano (BA),2004,,,614087.0,853567.0,889361.0
Nordeste Baiano (BA),2005,,,662001.0,893680.0,896694.0
Nordeste Baiano (BA),2006,,,677766.0,919347.0,941059.0
Nordeste Baiano (BA),2007,,,1005661.0,800724.0,831972.0
Nordeste Baiano (BA),2008,,,902984.0,800662.0,819941.0
Nordeste Baiano (BA),2009,,,901190.0,816179.0,820193.0
Nordeste Baiano (BA),2010,,,1117882.0,793248.0,793248.0
Nordeste Baiano (BA),2011,,,798266.0,574529.0,798504.0
Nordeste Baiano (BA),2012,,,611753.0,380259.0,491823.0
Nordeste Baiano (BA),2013,,,1048795.0,560197.0,632785.0
Nordeste Baiano (BA),2014,,,971576.0,574966.0,601005.0
Nordeste Baiano (BA),2015,,,1369024.0,614010.0,644737.0
Nordeste Baiano (BA),2016,,,1082632.0,435457.0,568614.0
Nordeste Baiano (BA),2017,,,945297.0,386516.0,450059.0
